E_Field[V/cm],Drift_Velocity[cm/us],Townsend_Coeff[1/cm],Attachment_Coeff[1/cm],Longitudinal_Diffusion[√cm],Transverse_Diffusion[√cm]
100,0.244298,9.35762e-14,9.35762e-14,0.0897635,0.220514
1109.09,0.438793,9.35762e-14,9.35762e-14,0.0542879,0.116491
2118.18,0.822308,4.13954e-14,9.35762e-14,0.0577162,0.07998
3127.27,1.22736,1.87901e-09,9.35762e-14,0.0485212,0.0662393
4136.36,1.60423,0.0828869,9.35762e-14,0.0427173,0.0575463
5145.45,1.96101,1.00628,9.35762e-14,0.0378858,0.050581
6154.55,2.29567,1.23052,9.35762e-14,0.0342942,0.0460544
7163.64,2.61585,2.95891,9.35762e-14,0.0315957,0.0429871
8172.73,2.926,4.95005,9.35762e-14,0.0296687,0.0407894
9181.82,3.23314,8.75853,9.35762e-14,0.0281705,0.0385582
10190.9,3.53493,14.0543,9.35762e-14,0.0269696,0.0366294
11200,3.83137,20.4524,9.35762e-14,0.0260662,0.0350032
12209.1,4.12223,28.1359,9.35762e-14,0.0250664,0.0336743
13218.2,4.40951,37.308,9.35762e-14,0.024113,0.0324864
14227.3,4.69333,47.6178,9.35762e-14,0.0232342,0.031433
15236.4,4.97369,58.5012,9.35762e-14,0.0224298,0.0305138
16245.5,5.25058,69.1963,9.35762e-14,0.0217002,0.0297275
17254.5,5.52536,82.1375,9.35762e-14,0.0210513,0.0288354
18263.6,5.79829,96.2984,9.35762e-14,0.020451,0.0279873
19272.7,6.06938,111.51,9.35762e-14,0.0198991,0.0271832
20281.8,6.33861,127.535,9.35762e-14,0.0193958,0.0264231
21290.9,6.60601,144.066,9.35762e-14,0.0189409,0.0257069
22300,6.87155,160.736,9.35762e-14,0.0185346,0.0250347
23309.1,7.13525,177.126,9.35762e-14,0.0181767,0.0244066
24318.2,7.39807,195.354,9.35762e-14,0.0178729,0.0238525
25327.3,7.65993,214.557,9.35762e-14,0.0175911,0.0233292
26336.4,7.9208,234.549,9.35762e-14,0.0173304,0.0228351
27345.5,8.18067,255.209,9.35762e-14,0.0170909,0.02237
28354.5,8.43956,276.394,9.35762e-14,0.0168725,0.0219339
29363.6,8.69745,297.943,9.35762e-14,0.0166752,0.0215269
30372.7,8.95435,319.674,9.35762e-14,0.016499,0.021149
31381.8,9.21026,341.392,9.35762e-14,0.016344,0.0208001
32390.9,9.46518,362.886,9.35762e-14,0.0162101,0.0204802
33400,9.71911,383.935,9.35762e-14,0.0160974,0.0201894
34409.1,9.9721,405.898,9.35762e-14,0.015965,0.0199241
35418.2,10.2245,428.622,9.35762e-14,0.0158288,0.0196703
36427.3,10.4765,451.788,9.35762e-14,0.0156969,0.0194272
37436.4,10.728,475.334,9.35762e-14,0.0155695,0.0191948
38445.5,10.9789,499.191,9.35762e-14,0.0154466,0.0189729
39454.5,11.2294,523.284,9.35762e-14,0.015328,0.0187617
40463.6,11.4793,547.535,9.35762e-14,0.0152139,0.0185612
41472.7,11.7288,571.86,9.35762e-14,0.0151042,0.0183712
42481.8,11.9778,596.171,9.35762e-14,0.0149989,0.018192
43490.9,12.2263,620.377,9.35762e-14,0.014898,0.0180233
44500,12.4743,644.382,9.35762e-14,0.0148016,0.0178653
45509.1,12.7218,668.089,9.35762e-14,0.0147096,0.017718
46518.2,12.9688,691.4,9.35762e-14,0.014622,0.0175813
47527.3,13.2153,714.213,9.35762e-14,0.0145388,0.0174552
48536.4,13.4613,736.944,9.35762e-14,0.0144548,0.0173283
49545.5,13.7075,761.6,9.35762e-14,0.0143531,0.0171627
50554.5,13.9534,786.54,9.35762e-14,0.0142527,0.0169999
51563.6,14.1992,811.739,9.35762e-14,0.0141534,0.0168397
52572.7,14.4448,837.168,9.35762e-14,0.0140554,0.0166823
53581.8,14.6903,862.801,9.35762e-14,0.0139586,0.0165275
54590.9,14.9356,888.606,9.35762e-14,0.0138631,0.0163754
55600,15.1807,914.554,9.35762e-14,0.0137687,0.016226
56609.1,15.4256,940.613,9.35762e-14,0.0136756,0.0160793
57618.2,15.6704,966.749,9.35762e-14,0.0135838,0.0159353
58627.3,15.915,992.927,9.35762e-14,0.0134931,0.015794
59636.4,16.1595,1019.11,9.35762e-14,0.0134037,0.0156554
60645.5,16.4038,1045.27,9.35762e-14,0.0133155,0.0155194
61654.5,16.6479,1071.36,9.35762e-14,0.0132285,0.0153862
62663.6,16.8918,1097.35,9.35762e-14,0.0131427,0.0152557
63672.7,17.1356,1123.2,9.35762e-14,0.0130582,0.0151278
64681.8,17.3792,1148.86,9.35762e-14,0.0129749,0.0150026
65690.9,17.6226,1174.3,9.35762e-14,0.0128928,0.0148802
66700,17.8659,1199.48,9.35762e-14,0.012812,0.0147604
67709.1,18.109,1224.36,9.35762e-14,0.0127323,0.0146433
68718.2,18.3519,1248.89,9.35762e-14,0.0126539,0.0145289
69727.3,18.5949,1273.83,9.35762e-14,0.012577,0.0144169
70736.4,18.8388,1301.71,9.35762e-14,0.0125022,0.0143061
71745.5,19.0826,1329.66,9.35762e-14,0.0124286,0.0141978
72754.5,19.3263,1357.66,9.35762e-14,0.0123565,0.014092
73763.6,19.57,1385.69,9.35762e-14,0.0122856,0.0139888
74772.7,19.8136,1413.73,9.35762e-14,0.0122161,0.0138881
75781.8,20.0572,1441.76,9.35762e-14,0.0121479,0.01379
76790.9,20.3007,1469.75,9.35762e-14,0.012081,0.0136944
77800,20.5442,1497.67,9.35762e-14,0.0120154,0.0136013
78809.1,20.7876,1525.51,9.35762e-14,0.0119512,0.0135107
79818.2,21.031,1553.24,9.35762e-14,0.0118883,0.0134227
80827.3,21.2743,1580.84,9.35762e-14,0.0118267,0.0133372
81836.4,21.5175,1608.28,9.35762e-14,0.0117665,0.0132542
82845.5,21.7607,1635.53,9.35762e-14,0.0117075,0.0131738
83854.5,22.0038,1662.58,9.35762e-14,0.0116499,0.0130959
84863.6,22.2469,1689.39,9.35762e-14,0.0115937,0.0130205
85872.7,22.4899,1715.94,9.35762e-14,0.0115387,0.0129476
86881.8,22.7329,1742.2,9.35762e-14,0.0114851,0.0128773
87890.9,22.9758,1768.15,9.35762e-14,0.0114328,0.0128095
88900,23.2186,1793.76,9.35762e-14,0.0113818,0.0127443
89909.1,23.4614,1819.01,9.35762e-14,0.0113322,0.0126816
90918.2,23.7042,1843.87,9.35762e-14,0.0112838,0.0126214
91927.3,23.9469,1868.32,9.35762e-14,0.0112368,0.0125637
92936.4,24.1895,1892.33,9.35762e-14,0.0111912,0.0125086
93945.5,24.4321,1915.87,9.35762e-14,0.0111468,0.012456
94954.5,24.6746,1938.92,9.35762e-14,0.0111038,0.0124059
95963.6,24.9171,1961.45,9.35762e-14,0.0110621,0.0123584
96972.7,25.1595,1983.45,9.35762e-14,0.0110217,0.0123134
97981.8,25.4018,2004.88,9.35762e-14,0.0109827,0.0122709
98990.9,25.6441,2025.73,9.35762e-14,0.010945,0.012231
100000,25.8863,2045.97,9.35762e-14,0.0109086,0.0121936
